delivery_id,driver_id,origin_city,destination_city,expected_time_for_delivery,actual_time_for_delivery,distance_km,actual_distance_km,loop_count,route_similarity_score,weather_condition_severity,traffic_congestion_level,driver_rating_and_credibility,order_fulfilled,destination_reached,origin_lat,origin_lon,destination_lat,destination_lon,marked_as_suspicious,fraud_type,delay_ratio,distance_ratio
DEL-013,D2012,Los Angeles,Dallas,1486.5283333333332,1440.0,2314.2223,2632.0044,5,0.10156379874941013,0.23800463436899522,0.6689777782962806,2.8680230790571652,0,1,34.0522,-118.2437,32.7767,-96.797,1,ghost_delivery,0.9687000023544793,1.1373170157421781
DEL-014,D2013,Washington DC,Portland,2961.125,1440.0,4513.5381,4513.5381,1,1.0,0.4070599614859366,0.09432579649188222,3.93404933607335,1,1,38.9072,-77.0369,45.5152,-122.6784,0,legitimate,0.4863016589978471,1.0
DEL-015,D2014,Houston,Los Angeles,1585.4166666666667,1440.0,2488.8411,2488.8411,1,1.0,0.8616725363527911,0.24865633392028563,3.9252561368019347,1,1,29.7604,-95.3698,34.0522,-118.2437,0,legitimate,0.9082785808147175,1.0
DEL-016,D2015,Chicago,Portland,2212.5416666666665,1440.0,3416.0998,3416.0998,0,1.0,0.09790872820160035,0.652144893998522,4.852733966016255,1,1,41.8781,-87.6298,45.5152,-122.6784,0,legitimate,0.6508352008436753,1.0
DEL-017,D2016,Philadelphia,Las Vegas,2642.2766666666666,1440.0,4015.4709,4197.3387999999995,1,0.07748688140404579,0.16463712140152686,0.002155378351426429,2.3422990747363044,1,1,39.9526,-75.1652,36.1699,-115.1398,1,route_padder,0.5449845650783478,1.045291798777573
DEL-018,D2017,San Francisco,Portland,733.4783333333332,655.5720600000001,1020.5695999999999,1092.6201,5,0.4696577826860865,0.060957571476515815,0.31360480976972926,4.705439784096571,1,1,37.7749,-122.4194,45.5152,-122.6784,0,legitimate,0.8937851742950828,1.070598320780866
DEL-019,D2018,Detroit,Chicago,316.95166666666665,396.0843255179973,454.05670000000003,482.52009999999996,1,0.7646411392462458,0.40377555131827747,0.9415961272290894,3.838449830671745,1,1,42.3314,-83.0458,41.8781,-87.6298,0,legitimate,1.2496679057837334,1.062686884699642
DEL-020,D2019,Detroit,Seattle,2473.8233333333333,1440.0,3748.9721,3860.3658,1,0.14468395616078153,0.2656145125313538,0.13087828212745645,2.379412635526225,1,1,42.3314,-83.0458,47.6062,-122.3321,1,route_padder,0.5820949218955275,1.0297131312340255
DEL-021,D2020,Chicago,New York,893.1383333333334,932.6324016837696,1280.1357,1280.1357,1,1.0,0.9960964478550944,0.073260721099633,4.758540484969085,1,1,41.8781,-87.6298,40.7128,-74.006,0,legitimate,1.0442194303798809,1.0
DEL-022,D2021,Philadelphia,Portland,3018.5983333333334,1440.0,4616.9797,4616.9797,1,1.0,0.6116777657259501,0.9872330636315043,3.207173003836423,1,1,39.9526,-75.1652,45.5152,-122.6784,0,legitimate,0.47704260089809897,1.0
DEL-023,D2022,Dallas,Houston,253.07166666666666,230.14944,383.5824,383.5824,1,1.0,0.15544790977499046,0.2817562714578943,4.268475917770159,1,1,32.7767,-96.797,29.7604,-95.3698,0,legitimate,0.9094239708119571,1.0
DEL-024,D2023,Portland,Dallas,2149.405,1440.0,3244.7007999999996,3244.7007999999996,0,1.0,0.09229846771273342,0.42357577256372636,1.5003348079076322,0,1,45.5152,-122.6784,32.7767,-96.797,1,ghost_delivery,0.6699528474159128,1.0
DEL-025,D2024,Dallas,Philadelphia,1608.9016666666669,1415.76522,2359.6087,2359.6087,0,1.0,0.42768691898067934,0.009669699608339966,1.8183854338082834,0,1,32.7767,-96.797,39.9526,-75.1652,1,ghost_delivery,0.8799575818285973,1.0
DEL-026,D2025,Washington DC,San Francisco,2971.7683333333334,1440.0,4531.8122,4777.1477,1,0.07710761152339807,0.8989246365264746,0.21007653833975404,3.168604427164747,1,1,38.9072,-77.0369,37.7749,-122.4194,1,route_padder,0.48455997859860095,1.0541362901136988
DEL-027,D2026,San Diego,Philadelphia,2941.201666666667,1440.0,4394.894200000001,4394.894200000001,1,1.0,0.8814162046633244,0.024786361898188725,4.728128056750559,1,1,32.7157,-117.1611,39.9526,-75.1652,0,legitimate,0.4895958057959303,1.0
DEL-028,D2027,Dallas,Philadelphia,1608.9016666666669,1440.0,2359.6087,2409.1482,0,0.3037916208468574,0.22243371754566443,0.816586605596929,4.320066365497258,1,1,32.7767,-96.797,39.9526,-75.1652,0,legitimate,0.8950205160663433,1.0209947946030205
DEL-029,D2028,Dallas,Chicago,1033.43,1065.3146438875146,1541.5991999999999,1540.4252,1,0.07743783864512066,0.6795181183602637,0.8436611632720807,2.2142813794069562,0,1,32.7767,-96.797,41.8781,-87.6298,1,ghost_delivery,1.0308532207188823,0.9992384531595502
DEL-030,D2029,Dallas,Los Angeles,1486.865,1440.0,2313.925,2313.925,1,1.0,0.7285450606527043,0.31367731419499123,3.380157549004592,1,1,32.7767,-96.797,34.0522,-118.2437,0,legitimate,0.9684806623331641,1.0
DEL-031,D2030,Boston,New York,281.97666666666663,351.7489705737634,344.8414,344.8414,1,1.0,0.6868571469145267,0.9402631203975533,4.328475369822545,1,1,42.3601,-71.0589,40.7128,-74.006,0,legitimate,1.2474399911591862,1.0
DEL-032,D2031,Seattle,Houston,2469.913333333333,1440.0,3723.2506000000003,3723.2506000000003,1,1.0,0.30928466220865325,0.40839290861921684,3.383680185980295,1,1,47.6062,-122.3321,29.7604,-95.3698,0,legitimate,0.583016408133079,1.0
DEL-033,D2032,Atlanta,Philadelphia,907.775,830.4012397322762,1246.1096,1246.1096,1,1.0,0.5479372131356982,0.0004059396972875273,4.213323140959526,1,1,33.749,-84.388,39.9526,-75.1652,0,legitimate,0.914765486747571,1.0
DEL-034,D2033,Las Vegas,Portland,1159.8566666666666,1440.0,1599.6471000000001,1599.6471000000001,2,1.0,0.793735399106002,0.9598320036830362,4.903999324904951,1,1,36.1699,-115.1398,45.5152,-122.6784,0,legitimate,1.2415327181232165,1.0
DEL-035,D2034,Denver,San Diego,1132.7033333333334,1420.9195895703247,1735.6816999999999,1904.6018000000001,1,0.07572908318604808,0.6112739730606801,0.7684893390001969,2.8620150985987864,1,1,39.7392,-104.9903,32.7157,-117.1611,1,route_padder,1.25444990559781,1.097322049313535
DEL-036,D2035,Atlanta,San Diego,2237.673333333333,1440.0,3448.279,3448.279,1,1.0,0.8926598262113665,0.8604405654225213,3.4983965593199433,1,1,33.749,-84.388,32.7157,-117.1611,0,legitimate,0.6435255667344951,1.0
DEL-037,D2036,Las Vegas,Phoenix,359.05833333333334,579.3716587013765,459.9,459.9,1,1.0,0.987892453066448,0.5954523184694197,4.095743901221657,1,1,36.1699,-115.1398,33.4484,-112.074,0,legitimate,1.6135864424110562,1.0
DEL-038,D2037,Portland,Las Vegas,1160.5666666666666,1132.6539210627216,1599.7453,1647.1306000000002,3,0.0794167110614701,0.4845970170702668,0.23924586381463286,2.2813922936175626,1,1,45.5152,-122.6784,36.1699,-115.1398,1,route_padder,0.9759490373059612,1.0296205277177561
DEL-039,D2038,San Francisco,Chicago,2227.1033333333335,1440.0,3438.3388,3590.7124,1,0.21044589402497516,0.06422885071387807,0.4075993696665867,4.665782338680975,1,1,37.7749,-122.4194,41.8781,-87.6298,0,legitimate,0.6465797874967634,1.0443160516933352
DEL-040,D2039,Washington DC,New York,280.7633333333333,264.11505625366016,362.11129999999997,362.11129999999997,1,1.0,0.38038102892771164,0.0058960835839930725,4.906860676940212,1,1,38.9072,-77.0369,40.7128,-74.006,0,legitimate,0.9407035210687299,1.0
DEL-041,D2040,San Francisco,San Diego,569.2883333333334,548.93826,807.9449000000001,914.8971,5,0.39747164813740304,0.33612954369838244,0.6791418850283497,4.839083241337952,0,1,37.7749,-122.4194,32.7157,-117.1611,1,ghost_delivery,0.9642534860776465,1.1323756112576489
DEL-042,D2041,San Francisco,New York,3085.9649999999997,1440.0,4693.0874,4693.0874,1,1.0,0.6629997568361613,0.08394746216200022,3.520312627838609,1,1,37.7749,-122.4194,40.7128,-74.006,0,legitimate,0.4666287530804789,1.0
DEL-043,D2042,Las Vegas,Seattle,1234.3316666666665,1440.0,1786.9906,1786.9906,1,1.0,0.278256615638806,0.9512041198605617,1.8091285718838006,0,0,36.1699,-115.1398,47.6062,-122.3321,1,ghost_delivery,1.1666232333557027,1.0
DEL-044,D2043,Miami,San Diego,2793.741666666667,1440.0,4271.7105,4271.7105,0,1.0,0.6517546552438894,0.7542332040595262,3.4770898837778117,1,1,25.7617,-80.1918,32.7157,-117.1611,0,legitimate,0.5154377790836064,1.0
DEL-045,D2044,Houston,Austin,179.55166666666668,187.1569504414766,261.4144,261.4144,0,1.0,0.2562436965621866,0.3688951743229414,3.3275316203343985,1,1,29.7604,-95.3698,30.2672,-97.7431,0,legitimate,1.0423570770241244,1.0
DEL-046,D2045,Washington DC,New York,280.7633333333333,383.03216597717005,362.11129999999997,362.11129999999997,0,1.0,0.9080261510474446,0.37530695942531844,4.544961769902448,1,1,38.9072,-77.0369,40.7128,-74.006,0,legitimate,1.36425280833384,1.0
DEL-047,D2046,Austin,Houston,179.36,190.9481870662737,261.4947,261.4947,0,1.0,0.04106913020613612,0.5327452453105003,3.6824623497225666,1,1,30.2672,-97.7431,29.7604,-95.3698,0,legitimate,1.0646085362749425,1.0
DEL-048,D2047,Portland,Houston,2398.295,1440.0,3626.1142999999997,3626.1142999999997,1,1.0,0.8915750148051031,0.4597393476017463,4.839235313805534,1,1,45.5152,-122.6784,29.7604,-95.3698,0,legitimate,0.600426553030382,1.0
DEL-049,D2048,Las Vegas,Boston,2931.576666666667,1440.0,4390.3062,4390.3062,1,1.0,0.3223045829811182,0.24549516909369085,3.487726878381912,1,1,36.1699,-115.1398,42.3601,-71.0589,0,legitimate,0.49120325467638004,1.0
DEL-050,D2049,Austin,Atlanta,1013.65,954.7873307857595,1485.0796,1485.0796,1,1.0,0.3250141678887595,0.48754993239134437,4.760639959516451,1,1,30.2672,-97.7431,33.749,-84.388,0,legitimate,0.9419299864704381,1.0
